y,mean_u
-0.5010635738956932,0.0
-0.49651316305534415,0.1419363062964177
-0.4919627522149951,0.2933385894680973
-0.487412341374646,0.4224558336817602
-0.48286193053429693,0.5241373646750203
-0.47831151969394786,0.6015208257374959
-0.4737611088535988,0.6603298699848523
-0.4692106980132497,0.7056662971148681
-0.46466028717290064,0.741138757965968
-0.46010987633255157,0.7695525217600131
-0.4555594654922025,0.7927800534218836
-0.4510090546518534,0.8121020420951768
-0.44645864381150435,0.828497005147758
-0.4419082329711553,0.8426444794957908
-0.4373578221308062,0.8550366928449386
-0.43280741129045713,0.8660836123110843
-0.42825700045010806,0.8760467694247737
-0.423706589609759,0.8851364307519964
-0.4191561787694099,0.8935425840139518
-0.41460576792906084,0.901416996874549
-0.41005535708871177,0.9088520738775807
-0.4055049462483627,0.9158909250454264
-0.4009545354080136,0.9225624577691448
-0.39640412456766455,0.9289143315927002
-0.3918537137273155,0.9349927984510675
-0.3873033028869664,0.9408226244372235
-0.38275289204661733,0.946436202650285
-0.37820248120626826,0.9518740824507662
-0.3736520703659192,0.9571666637625983
-0.3691016595255701,0.9623437097175921
-0.36455124868522104,0.9674305330071888
-0.36000083784487197,0.9724472337718463
-0.3554504270045229,0.977402940514516
-0.3509000161641738,0.9822918545471634
-0.34634960532382475,0.9871009298791265
-0.3417991944834757,0.9918118192903285
-0.3372487836431266,0.9964189483216265
-0.33269837280277753,1.0009080559442456
-0.32814796196242846,1.005279236432898
-0.3235975511220794,1.0095292696500209
